CellNum,cycle_lives,SurfFit_p1,SurfFit_p2,SurfFit_p3,slope_2pt9V,int_2pt9V,slope_2pt9V_corr,int_2pt9V_corr,heatmap_mean_abs,heatmap_mean,heatmap_var,heatmap_mean_abs_corr,heatmap_mean_corr,heatmap_var_corr,DeltaQ_min,DeltaQ_mean,DeltaQ_var,DeltaQ_skew,DeltaQ_kurt,DeltaQ_2V,Q_cycle2,Q_lastcycle,Qmax_minus_Q2,chargetime,Tmax,Tmin,Qlinfit_allcycles_int,Qlinfit_allcycles_slope,Qlinfit_last10cycles_int,Qlinfit_last10cycles_slope,IR_min,IR_cycle2,IR_diff
1,1852,1.26799839663744e-05,0.000236549549166296,0.000138708518947457,0.000120593473262151,0.948797398615061,3.09560671278905e-05,-0.00080692909867812,0.747631578457285,0.747418005878624,0.179447228881395,0.000979721499509452,-0.000410543240975678,1.33383854755038e-05,-0.000528032918362342,0.0010462729948028,9.18777921748871e-07,0.201203287114189,1.84133975050063,0.0021930208980423,1.0706892,1.0767562,0.4683652,13.374894,35.728691,29.012251,-0.000581021816326531,1.1001664304898,-6.4774545454508e-05,1.07942218181818,0.016443744,0.016742354,-7.5200000000001e-05
2,2160,0.000104940962883959,-0.000104746374638031,7.97804515417244e-05,4.40723211527001e-05,0.954444755174818,4.40723211526998e-05,-0.00127010324129072,0.750242128411978,0.750238389827702,0.182957074476623,0.000952363860915511,-0.000113942236457019,3.13707781925296e-06,-0.00669877917049205,3.70470760031916e-05,1.87350754998263e-06,-2.39950684464987,11.0819254736115,0.00133407225873938,1.0753012,1.0817146,0.00928830000000014,13.40915,34.707664,29.24111,6.78575714285603e-05,1.07947430314286,-9.8133333333228e-06,1.08228106666667,0.016764179,0.017038831,-4.19910000000016e-05
3,2237,6.33014821649153e-05,-0.000133889633521123,0.00034406041969048,2.63169216668711e-06,0.961199926701781,2.63169216668096e-06,1.67115215437208e-05,0.754824663053173,0.75482167679013,0.182646586464478,0.000915054391663455,-8.0667859933893e-05,2.96606630515467e-06,-0.0111599078064687,-0.000171573826089425,4.00082352719154e-06,-3.4808698685866,16.1680801290386,0.00125268011960067,1.0799223,1.0858485,0.00813120000000001,13.3582423333333,35.098438,29.269444,6.40452346938725e-05,1.08353946063265,2.99454545457991e-06,1.08578531818182,0.016613184,0.01686798,-1.38070000000011e-05
4,1434,-0.000117857012914636,-0.000911461173969643,0.000906086112521731,-0.0428827937239269,2.64418874300386,-0.000121392852232051,0.00309957031069362,1.16456961622925,1.16435711024374,12.3491252689668,0.00100678794759281,-0.000125924613932567,2.91709036544964e-06,-0.011588734810338,-0.00317280587404383,1.27885299206341e-05,-0.964740088983791,2.64439140690257,0.000827431298373149,1.0797229,1.085786,0.00606309999999999,12.0251396666667,31.224295,29.099152,7.7254122448983e-05,1.08258746220408,2.80309090909304e-05,1.08432724363636,0.016098134,0.016369704,3.85810000000028e-05
5,1709,-1.35943092704319e-05,-0.00061091070123303,0.000625427490899192,-0.0428337830933821,2.63454005851907,-6.64150591058499e-05,0.00177052739168876,1.15470416754652,1.15420836260117,12.2502393369553,0.000783655703546738,-0.000138618230769567,1.64124727785648e-06,-0.00626431181329401,-0.00181558658861195,5.09800996790619e-06,-0.742812617404031,2.02612177807174,0.000652561716927957,1.0784167,1.0835332,0.00514309999999996,12.0418506666667,34.642597,29.208866,7.83458367346963e-05,1.08040351232653,2.32103030303415e-05,1.08239320121212,0.016368635,0.016787428,-5.33139999999988e-05
6,1074,-0.000218065061460513,-0.00136744914521346,0.000874841051594564,-0.000191472163252891,0.945631268943037,-0.000191472163252891,0.00454570218366319,0.743527520523121,0.743523532028812,0.180968983456525,0.00109733429205522,-0.000204215487506086,3.038096552952e-06,-0.0116248837227538,-0.00413151682325024,1.41536387472406e-05,-0.584663702281517,1.96862037119872,-0.000793942100901335,1.0761266,1.0809518,0.00488889999999986,10.9678496666667,33.086578,29.015993,6.5235989795914e-05,1.07838597855102,-6.23030302983511e-07,1.08097162787879,0.015922785,0.016437579,-0.000111867000000002
7,636,-0.00060642860582753,-0.00211370728957002,0.00187556218722816,-0.00031452017073741,0.957389598423544,-0.0003145201707374,0.00697808522833842,0.747659739784841,0.747655039873849,0.182745876907733,0.00168119228240366,-0.000352854168262857,7.8674564795655e-06,-0.0191382253936118,-0.00638579844043619,4.40214052283831e-05,-0.779939124645432,2.04277352892205,-0.000451750146405416,1.0758358,1.0817347,0.00630320000000006,10.076479,36.0327,29.495056,6.82613775510247e-05,1.07935111030612,-9.17212121207429e-06,1.08223949151515,0.016541764,0.017001977,-0.000333346000000002
8,870,-0.000789509232006846,-0.00226415110276096,0.00178780923127613,-0.000314007816532546,0.978892183590127,-0.000314007816532552,0.00709837478379686,0.763685110829823,0.763681991963927,0.185514475804863,0.00181275888696415,-0.000248659177835545,8.86352582793591e-06,-0.0206378693377607,-0.00725307461337829,4.17700106401129e-05,-0.755269824016648,2.23807921759342,-0.00242814770512223,1.0938644,1.0975028,0.0041042,10.0250816666667,35.453625,29.368095,3.61107653061268e-05,1.09619429969388,5.20181818186651e-06,1.09729404727272,0.016083084,0.016311171,-3.84210000000003e-05
9,1054,4.29411731830421e-05,-0.0012920592939482,0.00100435455328351,-0.000179195457820501,0.971299419452644,-0.000179195457820497,0.00469771449884022,0.758182948805974,0.758179836014057,0.183501016478803,0.00109564345630175,-1.68595422312628e-05,3.49435383783543e-06,-0.0133521298484104,-0.00384933696327575,1.888689570569e-05,-0.931298962671552,2.38592821848147,-0.000113696892829251,1.0829742,1.0880841,0.00512350000000006,11.207956,36.163319,29.999718,6.67211428571411e-05,1.08553941355102,2.61212121216207e-06,1.08793492848485,0.016611163,0.016978227,-3.36659999999982e-05
10,788,-6.20326138657372e-05,-0.000924599685646388,0.00136638141648665,-0.000120785192123179,0.939733004982078,-0.000120785192123166,0.00279086288794326,0.735829919307862,0.735828135487411,0.173001300597507,0.00138573660291659,-0.000361478365387792,5.04317049329344e-06,-0.00836846657991697,-0.00149980924017884,1.04565100025234e-05,-0.790026296779342,2.27493521339076,0.00215365833329995,1.0537786,1.0607976,0.00946040000000004,11.668876,36.386898,29.879915,9.81602040816287e-05,1.05710143673469,-4.24363636359315e-06,1.06100120545454,0.015962802,0.016575078,-0.000303577999999999
