CellNum,cycle_lives,SurfFit_p1,SurfFit_p2,SurfFit_p3,slope_2pt9V,int_2pt9V,slope_2pt9V_corr,int_2pt9V_corr,heatmap_mean_abs,heatmap_mean,heatmap_var,heatmap_mean_abs_corr,heatmap_mean_corr,heatmap_var_corr,DeltaQ_min,DeltaQ_mean,DeltaQ_var,DeltaQ_skew,DeltaQ_kurt,DeltaQ_2V,Q_cycle2,Q_lastcycle,Qmax_minus_Q2,chargetime,Tmax,Tmin,Qlinfit_allcycles_int,Qlinfit_allcycles_slope,Qlinfit_last10cycles_int,Qlinfit_last10cycles_slope,IR_min,IR_cycle2,IR_diff,log_SurfFit_p1,log_SurfFit_p2,log_SurfFit_p3,log_slope_2pt9V,log_int_2pt9V,log_slope_2pt9V_corr,log_int_2pt9V_corr,log_heatmap_mean_abs,log_heatmap_mean,log_heatmap_var,log_heatmap_mean_abs_corr,log_heatmap_mean_corr,log_heatmap_var_corr,log_DeltaQ_min,log_DeltaQ_mean,log_DeltaQ_var,log_DeltaQ_skew,log_DeltaQ_kurt,log_DeltaQ_2V,log_Q_cycle2,log_Q_lastcycle,log_Qmax_minus_Q2,log_chargetime,log_Tmax,log_Tmin,log_Qlinfit_allcycles_int,log_Qlinfit_allcycles_slope,log_Qlinfit_last10cycles_int,log_Qlinfit_last10cycles_slope,log_IR_min,log_IR_cycle2,log_IR_diff
1,1852,0.000167005898534205,0.00050327483631772,0.000301300189909442,0.000265223492706664,0.946938293454925,0.000141561822852757,-0.00235292809816415,0.746708384969244,0.746349162267676,0.179245146180807,0.00134807872325793,-0.000558125345997147,2.14086390075012e-05,-0.00257548767135454,0.00101136943839588,9.5675870842659e-07,-0.917657259151714,3.80029162992602,0.00215533843259208,1.0706892,1.0765879,0.4683652,13.374894,35.728691,29.012251,-0.000746495665024609,1.10286678581281,1.13321212121389e-05,1.07617567090909,0.016443744,0.016742354,-7.5200000000001e-05,-3.77726818959722,-3.29819478373273,-3.52100059459084,-3.57638801005237,-0.0236783205586767,-3.84905385370762,-2.62839134398745,-0.126848971846477,-0.127057950315343,-0.746552595857836,-2.87028474572486,-3.25326825453628,-4.66941094084753,-2.58914052471002,-2.99509017403407,-6.01919757613309,-0.0373194955451202,0.579816925145203,-2.66648452695697,0.0296634219859978,0.032049494379203,-0.329415380912715,1.12629034879439,1.55301710515036,1.46258142611231,-3.12697270992336,0.042523057607604,-4.94568878876848,0.0318831697311372,-1.78399929303574,-1.77618347959625,-4.12378215940835
2,2160,0.000285693914787869,0.000693725108551372,-0.0002775186768659,0.000215520110388104,0.952249493658588,0.000215520110388098,-0.00346536475752073,0.750138266857849,0.750134479540209,0.183010436876296,0.00129534961133848,-0.000306238108012322,4.81828395183429e-06,-0.00651713164419859,0.000100190421141264,2.1766197200326e-06,-2.12948713965741,8.40004472155661,0.0014591789830829,1.0753012,1.081928,0.00928830000000014,13.40915,34.707664,29.24111,0.000183867093596086,1.07788121270936,9.77696969699012e-06,1.08173904727273,0.016764179,0.017038831,-4.19910000000016e-05,-3.54409900988745,-3.15881258644617,-3.55670778375986,-3.66651219917801,-0.0212492495951753,-3.66651219917802,-2.46025104565791,-0.124858679276398,-0.124860871959237,-0.737524142244792,-2.88761300086192,-3.51394076703526,-5.31710760967579,-2.18594350629125,-3.99917379787346,-5.66221744046633,0.328275021637902,0.924281598237305,-2.83589143422184,0.031530130461739,0.0341983603610097,-2.03206376589647,1.12740124899183,1.54042538445649,1.46599385452813,-3.73549598880645,0.0325709023095409,-5.00979573087742,0.0341225066134496,-1.7756177106217,-1.76856020462007,-4.37684378267782
3,2237,0.000168693730027217,0.000546491172079553,-0.000103989682637649,0.000124290156225624,0.959645096987598,0.000124290156225624,-0.00234308144688832,0.754832383560823,0.754829732851508,0.182652751004439,0.00119204828574843,-0.00024715390022574,4.5254829990511e-06,-0.0104220181167455,-0.000458643437198568,4.65807983101102e-06,-2.64206017709098,10.5475908495987,0.00146775609610894,1.0799223,1.0857949,0.00813120000000001,13.3582423333333,35.098438,29.269444,0.000149760886699532,1.08236184995074,3.02721212121286e-05,1.08495023090909,0.016613184,0.01686798,-1.38070000000011e-05,-3.77290105887611,-3.26241684917284,-3.98300974719939,-3.90556326609836,-0.0178893512495746,-3.90556326609836,-2.63021261480919,-0.122149476154058,-0.122151001248205,-0.738373782323949,-2.92370615247382,-3.60703253174113,-5.34433506228677,-1.98204817622819,-3.33852481650031,-5.33179307272052,0.421942705133512,1.02315327478011,-2.83334610716834,0.0333925092877152,0.0357477974347288,-2.08984535662972,1.12574931778381,1.54528778931268,1.46641447268916,-3.8246015972413,0.0343724762652246,-4.51895714632305,0.0354098165833548,-1.77954712485672,-1.77293692259047,-4.85990067514917
4,1434,-7.71474630228603e-05,-0.000207882811798984,0.000664041512193137,-0.0590440753740242,2.88034875633575,-6.38447968327344e-05,0.000810482068034779,1.44697161905664,1.44661484398384,20.5458629228472,0.000933974847438748,-0.000274414723680636,2.5095248825352e-06,-0.00938075730544519,-0.00203654378577951,7.97406806547565e-06,-1.12430121279896,3.10980407226413,0.00115836778964762,1.0797229,1.0854537,0.00583679999999998,12.0251396666667,31.224295,29.17243,0.000146872118226622,1.08161651162562,5.2735757575771e-05,1.08400689818182,0.016098134,0.016369704,3.85810000000028e-05,-4.11267835104333,-3.68218141759228,-3.17780477010054,-1.22882367402771,0.459445075878019,-4.19487449070925,-3.09125658950109,0.160460012937994,0.160352917160377,1.31272438627741,-3.02966481945047,-3.56159259033517,-5.60040849382765,-2.02776209975528,-2.69110624812745,-5.09832006158379,0.0508826791436254,0.492733027928777,-2.93615352726294,0.0333123124850759,0.0356113033654222,-2.2338251876877,1.08009012921305,1.49449264140754,1.46497260641471,-3.83306064157945,0.0340733084544001,-4.27789481074927,0.035032045885732,-1.79322446188551,-1.7859591735098,-4.41362651985298
5,1709,4.11795402719815e-06,-0.000112579598840979,0.000422077617126439,-0.0589470788851156,2.87013003009489,4.14938798134444e-05,-0.00113662403385808,1.43414207553705,1.4333068166472,20.3824910289197,0.000777802935990085,-0.000341811680440995,1.81137910041153e-06,-0.00468280723158665,-0.000912728091985112,2.34720969954743e-06,-0.889030794120071,2.59010635507241,0.00096206835082091,1.0784167,1.0832844,0.00492859999999995,12.0418506666667,34.642597,29.331198,0.000145395665024657,1.07946066935961,4.98290909090902e-05,1.08188883818182,0.016368635,0.016787428,-5.33139999999988e-05,-5.38531850615063,-3.94854030321054,-3.37460767797167,-1.22953771144265,0.457901572717778,-4.38201595531825,-2.9443831650592,0.156592177527959,0.156339166331791,1.30925725984721,-3.1091304218444,-3.46621310058428,-5.74199064742925,-2.32949371964293,-3.0396585825296,-5.62944810883003,-0.0510831957397965,0.41331759746841,-3.01679407210995,0.0327866045822785,0.034742489068487,-2.30727642729911,1.08069323713414,1.53961044167363,1.46732980161553,-3.83744854178466,0.0332068232415625,-4.30251703610342,0.0341826402120216,-1.78598753541303,-1.77501583697519,-4.27315873235484
6,1074,0.000171540242646623,-0.000545626810191433,0.000519397116097498,-7.39244186038142e-05,0.944093965802356,-7.39244186038162e-05,0.00137188792979531,0.744125613003882,0.744121557123561,0.181225301756715,0.000867454661022864,-0.000137158973013152,2.32215508334852e-06,-0.00511690007269028,-0.00174342298211403,2.92348891967762e-06,-0.617485383205392,1.92844679673502,-9.50155683687726e-07,1.0761266,1.0807087,0.00460869999999991,10.9678496666667,33.086578,29.015993,0.000115042610837448,1.07767855960591,4.22024242424398e-05,1.07952379818182,0.015922785,0.016437579,-0.000111867000000002,-3.76563397994092,-3.26310429811673,-3.28450046607834,-4.13121208240074,-0.0249847781611163,-4.13121208240073,-2.86268136491165,-0.128353746672216,-0.128356113814554,-0.741781168435061,-3.06175321507559,-3.86277577535347,-5.63410877960458,-2.29099306422838,-2.75859723336497,-5.53409854784414,-0.209373318340967,0.285207661764089,-6.02220522941956,0.0318633665414722,0.0337086476710391,-2.33642156104125,1.04012148906587,1.51965185230438,1.46263743780047,-3.93914127074222,0.0324892426627451,-4.37466260105551,0.0332322208296932,-1.79798096898841,-1.78416214691557,-3.95129800848125
7,636,0.000255893438696421,-0.000658775517791448,0.000976977693062534,-0.000192921388330509,0.955791872732481,-0.000192921388330517,0.00404347950271715,0.748754360584529,0.748749518708961,0.182945569763586,0.00117396962612085,3.47035451166145e-05,4.32530762212569e-06,-0.010560866758713,-0.00259334323796806,1.26870531208264e-05,-0.957210717913729,2.36387157942534,0.000793118526124958,1.0758358,1.0820479,0.00630320000000006,10.076479,36.0327,29.629745,0.00015001669950742,1.07820178453202,4.1509090909087e-05,1.08091591818182,0.016541764,0.017001977,-0.000333346000000002,-3.59194084961289,-3.18126254897655,-3.0101153522387,-3.71461962140229,-0.0196366666823966,-3.71461962140227,-2.39324475408159,-0.125660635357511,-0.125663443764048,-0.73767810298811,-2.93034313935651,-4.45962615789094,-5.36398299944987,-1.97630043662431,-2.58613999904617,-4.89663924173401,-0.0189924472245734,0.373623879205044,-3.10066190550014,0.0317459919664273,0.0342464865055139,-2.20043891252877,1.00330880413297,1.55669680586855,1.4717279138638,-3.82386039360937,0.0327000462941084,-4.38185677800405,0.0337919125565631,-1.78141817951039,-1.7695005756647,-3.4771047518429
8,870,0.000335757306617501,-0.00104410528677482,0.000944092962822553,-0.000256704601447643,0.978119702512959,-0.000256704601447655,0.00529323623216762,0.765025202496122,0.76502221685962,0.185761749978142,0.00123929930531272,0.000407517511636399,4.69859828645071e-06,-0.0120792014728159,-0.00353603139812591,1.2471098547359e-05,-0.960583021945839,2.60146086046735,-0.000922977366776934,1.0938644,1.0979047,0.0041042,10.0250816666667,35.453625,29.495224,6.78785714286008e-05,1.09573258078818,0.000101370303030326,1.09501674727273,0.016083084,0.016311171,-3.84210000000003e-05,-3.47397452761194,-2.98125570520369,-3.02498523954403,-3.59056634650032,-0.00960799290188704,-3.5905663465003,-2.27627872342089,-0.116324257493825,-0.116325952402677,-0.731043706292675,-2.90682379374678,-3.3898537242402,-5.32803168403334,-1.91796177493776,-2.45148388733196,-4.90409528893986,-0.0174650936708203,0.41521729622824,-3.03480894859966,0.0389634883760765,0.0405646442485363,-2.38677148396349,1.00108791917134,1.54966064676902,1.46975169874536,-4.16826730641335,0.0397045752623822,-3.99408925524953,0.0394207613610805,-1.79363066978162,-1.7875148592796,-4.41543133575673
9,1054,0.000147135017006063,-0.000769573592168306,0.000937403374924877,-7.95087148739446e-05,0.969988746316757,-7.95087148739377e-05,0.00114692857743289,0.758752544241511,0.758749661099094,0.183619927050388,0.00101651151208744,-0.000185783242019011,3.11025325821052e-06,-0.00815842462945748,-0.00157569761638501,6.16170272839912e-06,-1.11770238395112,2.94753109328387,0.000934694529597158,1.0829742,1.0879281,0.00495390000000007,11.207956,35.989418,30.020153,0.000138554630541901,1.08453916384236,3.056000000003e-05,1.08698668,0.016611163,0.016978227,-3.36659999999982e-05,-3.83228395621397,-3.1137498434811,-3.02807348722651,-4.09958526613307,-0.0132333043326056,-4.09958526613311,-2.94046362603296,-0.119899839642292,-0.119901489897347,-0.736080189483278,-2.99288769857268,-3.73099346271536,-5.50720424628982,-2.08839369428358,-2.80252712195776,-5.21029925806876,0.0483261772403487,0.469458395131125,-3.02933029905921,0.0346181104285525,0.0366001942545646,-2.30505276438048,1.04952641733529,1.55617482355116,1.47741290132785,-3.85837895537297,0.0352452394608855,-4.51484665009592,0.0362242222482607,-1.77959996015542,-1.7701076641698,-4.47280848091292
10,788,1.75634649719367e-05,0.000500499387251459,0.000435227737376475,0.000174043113812511,0.936004984814134,0.000174043113812509,-0.00331222003867344,0.736209126784145,0.736207434174106,0.173024588191101,0.00132257421912641,-0.000730262333074132,5.42373751178215e-06,-0.00272011148033813,0.000669871697407222,1.86212718278776e-06,-0.256120882510058,2.11613260239017,0.0026572119788153,1.0537786,1.0606567,0.00946040000000004,11.668876,36.386898,29.905121,0.000198575418719231,1.05569188985222,4.91939393939731e-05,1.05923793454545,0.015962802,0.016575078,-0.000303577999999999,-4.75538980108682,-3.30059644987991,-3.36128343452844,-3.75934315532937,-0.0287218383649856,-3.75934315532937,-2.479880819711,-0.132998802907523,-0.13299980139018,-0.761892175732896,-2.8785799472303,-3.13652109968709,-5.26570133682961,-2.56541329658949,-3.17400837109609,-5.7299906601449,-0.591555010406404,0.325542878241209,-2.5755737984096,0.0227493747299543,0.0255748396776323,-2.02409050058339,1.06702902481082,1.56094503335746,1.47574556396351,-3.70207451301748,0.023537185184712,-4.3080883982465,0.0249935257859143,-1.79689087324033,-1.78054441918926,-3.51772970453148
